,train,val,test
test_090,True,False,False
test_093,True,False,False
test_094,True,False,False
test_097,True,False,False
test_099,True,False,False
test_102,True,False,False
test_103,True,False,False
test_104,True,False,False
test_105,True,False,False
test_108,True,False,False
test_110,True,False,False
test_111,True,False,False
test_113,True,False,False
test_114,True,False,False
test_116,True,False,False
test_117,True,False,False
test_122,True,False,False
test_018,False,True,False
normal_024,False,True,False
normal_001,False,True,False
normal_074,False,True,False
test_015,False,True,False
normal_146,False,True,False
normal_051,False,True,False
test_034,False,True,False
normal_037,False,True,False
test_128,False,True,False
normal_004,False,True,False
normal_019,False,True,False
test_130,False,True,False
test_129,False,True,False
normal_143,False,True,False
test_083,False,True,False
normal_114,False,True,False
normal_116,False,True,False
normal_006,False,True,False
normal_148,False,True,False
normal_075,False,True,False
tumor_006,False,True,False
tumor_094,False,True,False
tumor_032,False,True,False
tumor_038,False,True,False
test_001,False,True,False
tumor_085,False,True,False
tumor_031,False,True,False
tumor_018,False,True,False
tumor_036,False,True,False
tumor_102,False,True,False
tumor_058,False,True,False
tumor_072,False,True,False
tumor_056,False,True,False
test_051,False,True,False
tumor_091,False,True,False
tumor_057,False,True,False
test_092,False,True,False
normal_028,False,False,True
normal_067,False,False,True
test_007,False,False,True
normal_098,False,False,True
test_095,False,False,True
test_096,False,False,True
normal_056,False,False,True
normal_023,False,False,True
normal_129,False,False,True
normal_125,False,False,True
normal_077,False,False,True
normal_068,False,False,True
normal_036,False,False,True
test_059,False,False,True
test_012,False,False,True
normal_030,False,False,True
test_022,False,False,True
normal_064,False,False,True
normal_156,False,False,True
test_023,False,False,True
normal_042,False,False,True
normal_123,False,False,True
normal_099,False,False,True
tumor_051,False,False,True
tumor_110,False,False,True
tumor_050,False,False,True
test_121,False,False,True
test_033,False,False,True
tumor_077,False,False,True
tumor_054,False,False,True
tumor_063,False,False,True
tumor_066,False,False,True
tumor_070,False,False,True
test_002,False,False,True
tumor_048,False,False,True
tumor_081,False,False,True
test_074,False,False,True
tumor_044,False,False,True
